human	alligator	turtle	ostrich	tinamou	chicken	duck	turkey	mesite	sandgrouse	pigeon	grebe	flamingo	swift	hummingbird	nightjar	cuckoo	bustard	turaco	plover	crane	hoatzin	pelican	egret	ibis	cormorant	fulmar	adelie_penquin	emperor_penquin	loon	sunbittern	tropicbird	ground_finch	zebrafinch	crow	manakin	rifleman	kea	budgerigar	falcon	seriema	bald_eagle	white_tailed_eagle	vulture	owl	mousebird	cuckoo_roller	trogon	hornbill	bee_eater	woodpecker	family
1	1	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HOXA11-AS1_4
1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	HOXA11-AS1_5
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HOXA11-AS1_6
30	3	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	2	1	0	1	0	1	1	1	2	1	0	0	0	0	0	0	0	1	IRE_I
7	1	3	2	3	5	4	2	3	3	3	3	4	3	3	4	2	2	3	2	3	2	2	2	2	4	3	2	2	2	2	2	4	7	4	6	3	2	3	3	2	3	3	4	2	3	3	2	2	4	2	IRE_II
1	0	0	0	0	1	0	0	2	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	2	0	0	0	0	0	0	IRES_APC
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	IRES_Cx43
26	19	17	17	18	16	18	17	18	16	19	18	16	18	20	18	18	16	16	18	18	16	19	18	18	17	19	16	18	18	19	17	17	12	17	16	18	17	18	19	19	17	18	18	15	18	19	16	20	16	16	K_chan_RES
14	20	13	11	11	11	11	12	11	11	11	11	11	11	11	13	12	13	11	11	11	11	11	11	11	13	11	11	12	11	11	11	12	11	11	12	11	11	11	11	11	12	11	11	11	11	11	11	12	12	12	let-7
2	2	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	mascRNA-menRNA
3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	MAT2A_A
4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	MAT2A_F
941	10	16	3	2	4	5	3	4	1	3	2	4	2	2	3	3	3	3	4	1	2	4	5	4	2	2	5	4	2	1	2	2	0	3	3	1	5	3	3	2	4	2	0	2	3	3	1	1	2	2	Metazoa_SRP
4	4	3	2	4	3	3	3	3	2	3	4	2	2	3	4	3	4	2	3	2	2	2	3	3	2	3	2	3	2	3	2	3	2	2	3	2	2	3	3	2	3	2	3	2	3	3	2	2	3	3	mir-1
3	7	5	3	3	2	3	3	3	3	3	2	4	4	3	2	2	2	3	4	3	2	3	2	5	3	3	3	3	3	4	5	3	2	4	3	1	2	2	3	3	3	3	5	5	2	3	2	3	3	3	mir-7
3	5	4	4	4	4	4	3	4	3	3	3	3	3	5	3	3	3	4	4	3	3	2	3	3	3	4	3	3	2	4	4	4	2	4	3	4	4	3	4	3	5	3	3	4	3	4	3	4	4	4	mir-9
5	4	3	3	3	2	3	1	2	3	3	2	2	5	3	2	3	3	4	3	3	2	4	2	5	3	3	3	3	2	2	3	3	2	2	4	3	2	3	3	3	3	3	2	2	4	3	4	2	3	3	mir-10
2	4	3	3	3	3	3	2	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	mir-15
3	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	2	3	2	3	3	3	3	3	3	mir-16
5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-17
0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	mir-18
3	4	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	mir-19
0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	mir-20
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-21
